INFO buildroot.py:667:  Mock Version: 6.6
DEBUG util.py:461:  ==============================================================================================================================================
DEBUG util.py:461:  Install  6 Packages
DEBUG util.py:461:  Total download size: 1.1 M
DEBUG util.py:461:  Installed size: 3.7 M
DEBUG util.py:461:  Downloading Packages:
DEBUG util.py:461:  (1/6): dbus-libs-1.14.10-5.el10.aarch64.rpm                                                                   530 kB/s | 154 kB     00:00    
DEBUG util.py:461:  (2/6): python3-dbus-1.3.2-8.el10.aarch64.rpm                                                                  474 kB/s | 159 kB     00:00    
DEBUG util.py:461:  (3/6): python3-dateutil-2.9.0.post0-1.el10_0.noarch.rpm                                                       902 kB/s | 341 kB     00:00    
DEBUG util.py:461:  (4/6): python3-six-1.16.0-16.el10.noarch.rpm                                                                  644 kB/s |  41 kB     00:00    
DEBUG util.py:461:  (5/6): python3-dnf-plugins-core-4.7.0-9.el10.noarch.rpm                                                       2.1 MB/s | 315 kB     00:00    
DEBUG util.py:461:  (6/6): python3-systemd-235-11.el10.aarch64.rpm                                                                1.1 MB/s | 108 kB     00:00    
DEBUG util.py:461:  ----------------------------------------------------------------------------------------------------------------------------------------------
DEBUG util.py:461:  Total                                                                                                         1.8 MB/s | 1.1 MB     00:00     
DEBUG util.py:461:  Running transaction check
DEBUG util.py:461:  Transaction check succeeded.
DEBUG util.py:461:  Running transaction test
DEBUG util.py:461:  Transaction test succeeded.
DEBUG util.py:461:  Running transaction
DEBUG util.py:461:    Preparing        :                                                                                                                      1/1 
DEBUG util.py:461:    Installing       : python3-systemd-235-11.el10.aarch64                                                                                  1/6 
DEBUG util.py:461:    Installing       : python3-six-1.16.0-16.el10.noarch                                                                                    2/6 
DEBUG util.py:461:    Installing       : python3-dateutil-1:2.9.0.post0-1.el10_0.noarch                                                                       3/6 
DEBUG util.py:461:    Installing       : dbus-libs-1:1.14.10-5.el10.aarch64                                                                                   4/6 
DEBUG util.py:461:    Installing       : python3-dbus-1.3.2-8.el10.aarch64                                                                                    5/6 
DEBUG util.py:461:    Installing       : python3-dnf-plugins-core-4.7.0-9.el10.noarch                                                                         6/6 
DEBUG util.py:461:    Running scriptlet: python3-dnf-plugins-core-4.7.0-9.el10.noarch                                                                         6/6 
DEBUG util.py:461:  Installed:
DEBUG util.py:461:    dbus-libs-1:1.14.10-5.el10.aarch64               python3-dateutil-1:2.9.0.post0-1.el10_0.noarch     python3-dbus-1.3.2-8.el10.aarch64      
DEBUG util.py:461:    python3-dnf-plugins-core-4.7.0-9.el10.noarch     python3-six-1.16.0-16.el10.noarch                  python3-systemd-235-11.el10.aarch64    
DEBUG util.py:461:  Complete!
DEBUG util.py:608:  Child return code was: 0
DEBUG util.py:183:  kill orphans in chroot /var/lib/mock/rocky-10-aarch64-bootstrap/root
DEBUG file_util.py:30:  touching file: /var/lib/mock/rocky-10-aarch64-bootstrap/root/etc/os-release
DEBUG buildroot.py:38:  method _setup_build_dirs skipped in bootstrap
DEBUG buildroot.py:38:  method _make_users skipped in bootstrap
DEBUG file_util.py:30:  touching file: /var/lib/mock/rocky-10-aarch64-bootstrap/root/.initialized
DEBUG util.py:634:  child environment: None
DEBUG util.py:556:  Executing command: ['sync'] with env {'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'C.UTF-8'} and shell False
DEBUG util.py:608:  Child return code was: 0
DEBUG util.py:634:  child environment: None
DEBUG util.py:556:  Executing command: ['/bin/tar', '--one-file-system', '--exclude-caches', '--exclude-caches-under', '--use-compress-program', 'pigz', '-cf', '/var/cache/mock/rocky-10-aarch64-bootstrap/root_cache/cache.tar.gz', '-C', '/var/lib/mock/rocky-10-aarch64-bootstrap/root', '--exclude=./proc', '--exclude=./sys', '--exclude=./dev', '--exclude=./tmp/ccache', '--exclude=./var/cache/yum', '--exclude=./var/cache/dnf', '--exclude=./var/log', '--exclude=.//proc', '--exclude=.//proc', '--exclude=.//sys', '--exclude=.//sys', '--exclude=.//dev/shm', '--exclude=.//dev/pts', '--exclude=.//proc/filesystems', '--exclude=.//sys/fs/selinux', '--exclude=.//var/cache/yum', '--exclude=.//var/cache/dnf', '.'] with env {'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'C.UTF-8'} and shell False
DEBUG util.py:608:  Child return code was: 0
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/rocky-10-aarch64
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/rocky-10-aarch64/root
DEBUG file_util.py:18:  ensuring that dir exists: /home/sherif/shim_dbx_r10/results/r10
INFO buildroot.py:318:  calling preinit hooks
DEBUG file_util.py:18:  ensuring that dir exists: /var/cache/mock/rocky-10-aarch64/root_cache/
DEBUG file_util.py:21:  created dir: /var/cache/mock/rocky-10-aarch64/root_cache/
DEBUG file_util.py:18:  ensuring that dir exists: /var/cache/mock/rocky-10-aarch64/yum_cache
DEBUG file_util.py:18:  ensuring that dir exists: /var/cache/mock/rocky-10-aarch64/dnf_cache
DEBUG util.py:634:  child environment: None
DEBUG util.py:556:  Executing command: ['/usr/bin/lscpu'] with env {'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'C.UTF-8'} and shell False
DEBUG util.py:461:  Architecture:                            aarch64
DEBUG util.py:461:  CPU op-mode(s):                          32-bit, 64-bit
DEBUG util.py:461:  Byte Order:                              Little Endian
DEBUG util.py:461:  CPU(s):                                  64
DEBUG util.py:461:  On-line CPU(s) list:                     0-63
DEBUG util.py:461:  Vendor ID:                               ARM
